temperature,city,pressure,date
24.35,Paris,1018,2023-07-19 14:52
21.59,Brussels,1015,2023-07-19 14:52
20.85,Amsterdam,1013,2023-07-19 14:52
24.4,Paris,1018,2023-07-19 14:51
21.46,Brussels,1015,2023-07-19 14:51
20.85,Amsterdam,1013,2023-07-19 14:51
24.4,Paris,1018,2023-07-19 14:50
21.46,Brussels,1015,2023-07-19 14:50
20.87,Amsterdam,1013,2023-07-19 14:50
24.35,Paris,1018,2023-07-19 14:49
21.76,Brussels,1015,2023-07-19 14:49
20.87,Amsterdam,1013,2023-07-19 14:49
24.35,Paris,1018,2023-07-19 14:48
21.46,Brussels,1015,2023-07-19 14:48
20.87,Amsterdam,1013,2023-07-19 14:48
24.02,Paris,1018,2023-07-19 14:47
21.69,Brussels,1015,2023-07-19 14:47
21.0,Amsterdam,1013,2023-07-19 14:47
24.02,Paris,1018,2023-07-19 14:46
21.69,Brussels,1015,2023-07-19 14:46
20.87,Amsterdam,1013,2023-07-19 14:46
24.02,Paris,1018,2023-07-19 14:45
21.66,Brussels,1015,2023-07-19 14:45
20.87,Amsterdam,1013,2023-07-19 14:45
24.02,Paris,1018,2023-07-19 14:44
21.69,Brussels,1015,2023-07-19 14:44
21.0,Amsterdam,1013,2023-07-19 14:44
24.02,Paris,1018,2023-07-19 14:43
21.69,Brussels,1015,2023-07-19 14:43
20.99,Amsterdam,1013,2023-07-19 14:43
24.02,Paris,1018,2023-07-19 14:42
21.69,Brussels,1015,2023-07-19 14:42
20.99,Amsterdam,1013,2023-07-19 14:42
24.02,Paris,1018,2023-07-19 14:41
21.69,Brussels,1015,2023-07-19 14:41
21.0,Amsterdam,1013,2023-07-19 14:41
24.02,Paris,1018,2023-07-19 14:40
21.69,Brussels,1015,2023-07-19 14:40
20.99,Amsterdam,1013,2023-07-19 14:40
23.99,Paris,1018,2023-07-19 14:39
21.58,Brussels,1015,2023-07-19 14:39
21.0,Amsterdam,1013,2023-07-19 14:39
24.02,Paris,1018,2023-07-19 14:38
21.66,Brussels,1015,2023-07-19 14:38
20.82,Amsterdam,1013,2023-07-19 14:38
23.89,Paris,1018,2023-07-19 14:37
21.49,Brussels,1015,2023-07-19 14:37
20.82,Amsterdam,1013,2023-07-19 14:37
23.89,Paris,1018,2023-07-19 14:36
21.49,Brussels,1015,2023-07-19 14:36
20.99,Amsterdam,1013,2023-07-19 14:36
23.99,Paris,1018,2023-07-19 14:35
21.49,Brussels,1015,2023-07-19 14:35
20.82,Amsterdam,1013,2023-07-19 14:35
23.89,Paris,1018,2023-07-19 14:34
21.49,Brussels,1015,2023-07-19 14:34
20.82,Amsterdam,1013,2023-07-19 14:34
23.99,Paris,1018,2023-07-19 14:33
21.58,Brussels,1015,2023-07-19 14:33
20.85,Amsterdam,1013,2023-07-19 14:33
23.89,Paris,1018,2023-07-19 14:32
21.49,Brussels,1015,2023-07-19 14:32
20.85,Amsterdam,1013,2023-07-19 14:32
23.89,Paris,1018,2023-07-19 14:31
21.49,Brussels,1015,2023-07-19 14:31
20.82,Amsterdam,1013,2023-07-19 14:31
23.99,Paris,1018,2023-07-19 14:30
21.44,Brussels,1015,2023-07-19 14:30
20.85,Amsterdam,1013,2023-07-19 14:30
23.99,Paris,1018,2023-07-19 14:29
21.49,Brussels,1015,2023-07-19 14:29
20.82,Amsterdam,1013,2023-07-19 14:29
23.91,Paris,1018,2023-07-19 14:28
21.44,Brussels,1015,2023-07-19 14:28
20.85,Amsterdam,1013,2023-07-19 14:28
23.91,Paris,1018,2023-07-19 14:27
21.44,Brussels,1015,2023-07-19 14:27
20.8,Amsterdam,1013,2023-07-19 14:27
23.91,Paris,1018,2023-07-19 14:26
21.53,Brussels,1015,2023-07-19 14:26
20.8,Amsterdam,1013,2023-07-19 14:26
23.91,Paris,1018,2023-07-19 14:25
21.53,Brussels,1015,2023-07-19 14:25
20.86,Amsterdam,1013,2023-07-19 14:25
23.91,Paris,1018,2023-07-19 14:24
21.44,Brussels,1015,2023-07-19 14:24
20.8,Amsterdam,1013,2023-07-19 14:24
23.91,Paris,1018,2023-07-19 14:23
21.53,Brussels,1015,2023-07-19 14:23
20.86,Amsterdam,1013,2023-07-19 14:23
23.91,Paris,1018,2023-07-19 14:22
21.44,Brussels,1015,2023-07-19 14:22
20.86,Amsterdam,1013,2023-07-19 14:22
23.91,Paris,1018,2023-07-19 14:21
21.53,Brussels,1015,2023-07-19 14:21
20.86,Amsterdam,1013,2023-07-19 14:21
23.91,Paris,1018,2023-07-19 14:20
21.53,Brussels,1015,2023-07-19 14:20
20.8,Amsterdam,1013,2023-07-19 14:20
23.85,Paris,1018,2023-07-19 14:18
21.53,Brussels,1015,2023-07-19 14:18
20.86,Amsterdam,1013,2023-07-19 14:18
23.93,Paris,1018,2023-07-19 14:17
21.53,Brussels,1015,2023-07-19 14:17
20.77,Amsterdam,1013,2023-07-19 14:17
23.85,Paris,1018,2023-07-19 14:16
21.53,Brussels,1015,2023-07-19 14:16
20.63,Amsterdam,1013,2023-07-19 14:16
23.93,Paris,1018,2023-07-19 14:15
21.47,Brussels,1015,2023-07-19 14:15
20.63,Amsterdam,1013,2023-07-19 14:15
23.85,Paris,1018,2023-07-19 14:14
21.51,Brussels,1015,2023-07-19 14:14
20.6,Amsterdam,1013,2023-07-19 14:14
23.85,Paris,1018,2023-07-19 14:13
21.24,Brussels,1015,2023-07-19 14:13
20.63,Amsterdam,1013,2023-07-19 14:13
23.85,Paris,1018,2023-07-19 14:12
21.47,Brussels,1015,2023-07-19 14:12
20.75,Amsterdam,1012,2023-07-19 14:12
23.93,Paris,1018,2023-07-19 14:11
21.47,Brussels,1015,2023-07-19 14:11
20.6,Amsterdam,1013,2023-07-19 14:11
23.85,Paris,1018,2023-07-19 14:10
21.51,Brussels,1015,2023-07-19 14:10
20.6,Amsterdam,1013,2023-07-19 14:10
23.85,Paris,1018,2023-07-19 14:09
21.41,Brussels,1015,2023-07-19 14:09
20.63,Amsterdam,1013,2023-07-19 14:09
23.94,Paris,1018,2023-07-19 14:08
21.24,Brussels,1015,2023-07-19 14:08
20.6,Amsterdam,1013,2023-07-19 14:08
23.93,Paris,1018,2023-07-19 14:07
21.51,Brussels,1015,2023-07-19 14:07
20.75,Amsterdam,1012,2023-07-19 14:07
23.96,Paris,1018,2023-07-19 14:06
21.24,Brussels,1015,2023-07-19 14:06
20.76,Amsterdam,1013,2023-07-19 14:06
23.96,Paris,1018,2023-07-19 14:05
21.4,Brussels,1015,2023-07-19 14:05
20.76,Amsterdam,1013,2023-07-19 14:05
23.94,Paris,1018,2023-07-19 14:04
21.4,Brussels,1015,2023-07-19 14:04
20.76,Amsterdam,1013,2023-07-19 14:04
23.96,Paris,1018,2023-07-19 14:03
21.38,Brussels,1015,2023-07-19 14:03
20.76,Amsterdam,1013,2023-07-19 14:03
23.94,Paris,1018,2023-07-19 14:02
21.4,Brussels,1015,2023-07-19 14:02
20.76,Amsterdam,1013,2023-07-19 14:02
23.94,Paris,1018,2023-07-19 14:01
21.4,Brussels,1015,2023-07-19 14:01
20.76,Amsterdam,1013,2023-07-19 14:01
23.96,Paris,1018,2023-07-19 14:00
21.38,Brussels,1015,2023-07-19 14:00
20.79,Amsterdam,1013,2023-07-19 14:00
23.96,Paris,1018,2023-07-19 13:59
21.32,Brussels,1015,2023-07-19 13:59
20.76,Amsterdam,1013,2023-07-19 13:59
23.89,Paris,1018,2023-07-19 13:58
21.32,Brussels,1015,2023-07-19 13:58
20.76,Amsterdam,1013,2023-07-19 13:58
23.79,Paris,1018,2023-07-19 13:57
21.38,Brussels,1015,2023-07-19 13:57
20.76,Amsterdam,1013,2023-07-19 13:57
23.79,Paris,1018,2023-07-19 13:56
21.32,Brussels,1015,2023-07-19 13:56
20.64,Amsterdam,1013,2023-07-19 13:56
23.79,Paris,1018,2023-07-19 13:55
21.4,Brussels,1015,2023-07-19 13:55
20.71,Amsterdam,1013,2023-07-19 13:55
23.79,Paris,1018,2023-07-19 13:54
21.32,Brussels,1015,2023-07-19 13:54
20.71,Amsterdam,1013,2023-07-19 13:54
23.79,Paris,1018,2023-07-19 13:53
21.32,Brussels,1015,2023-07-19 13:53
20.68,Amsterdam,1013,2023-07-19 13:53
23.89,Paris,1018,2023-07-19 13:52
21.43,Brussels,1015,2023-07-19 13:52
20.68,Amsterdam,1013,2023-07-19 13:52
23.79,Paris,1018,2023-07-19 13:51
21.43,Brussels,1015,2023-07-19 13:51
20.71,Amsterdam,1013,2023-07-19 13:51
23.79,Paris,1018,2023-07-19 13:50
21.23,Brussels,1015,2023-07-19 13:50
20.77,Amsterdam,1013,2023-07-19 13:50
23.79,Paris,1018,2023-07-19 13:49
21.43,Brussels,1015,2023-07-19 13:49
20.71,Amsterdam,1013,2023-07-19 13:49
22.89,Paris,1018,2023-07-19 13:48
21.43,Brussels,1015,2023-07-19 13:48
20.71,Amsterdam,1013,2023-07-19 13:48
22.89,Paris,1018,2023-07-19 13:47
21.32,Brussels,1015,2023-07-19 13:47
20.77,Amsterdam,1013,2023-07-19 13:47
22.89,Paris,1018,2023-07-19 13:46
21.43,Brussels,1015,2023-07-19 13:46
20.71,Amsterdam,1013,2023-07-19 13:46
22.89,Paris,1018,2023-07-19 13:45
21.43,Brussels,1015,2023-07-19 13:45
20.72,Amsterdam,1013,2023-07-19 13:45
22.89,Paris,1018,2023-07-19 13:44
21.43,Brussels,1015,2023-07-19 13:44
20.72,Amsterdam,1013,2023-07-19 13:44
22.89,Paris,1018,2023-07-19 13:43
21.43,Brussels,1015,2023-07-19 13:43
20.68,Amsterdam,1013,2023-07-19 13:43
22.89,Paris,1018,2023-07-19 13:42
21.4,Brussels,1015,2023-07-19 13:42
20.72,Amsterdam,1013,2023-07-19 13:42
22.89,Paris,1018,2023-07-19 13:41
21.43,Brussels,1015,2023-07-19 13:41
20.72,Amsterdam,1013,2023-07-19 13:41
22.89,Paris,1018,2023-07-19 13:40
21.43,Brussels,1015,2023-07-19 13:40
20.72,Amsterdam,1013,2023-07-19 13:40
22.89,Paris,1018,2023-07-19 13:39
21.4,Brussels,1015,2023-07-19 13:39
20.68,Amsterdam,1013,2023-07-19 13:39
22.89,Paris,1018,2023-07-19 13:38
21.4,Brussels,1015,2023-07-19 13:38
20.72,Amsterdam,1013,2023-07-19 13:38
22.79,Paris,1017,2023-07-19 13:37
21.4,Brussels,1015,2023-07-19 13:37
20.72,Amsterdam,1013,2023-07-19 13:37
22.83,Paris,1017,2023-07-19 13:36
21.4,Brussels,1015,2023-07-19 13:36
20.72,Amsterdam,1013,2023-07-19 13:36
22.83,Paris,1017,2023-07-19 13:35
21.43,Brussels,1015,2023-07-19 13:35
20.66,Amsterdam,1013,2023-07-19 13:35
22.79,Paris,1017,2023-07-19 13:34
21.43,Brussels,1015,2023-07-19 13:34
20.66,Amsterdam,1013,2023-07-19 13:34
22.79,Paris,1017,2023-07-19 13:33
21.25,Brussels,1015,2023-07-19 13:33
20.57,Amsterdam,1013,2023-07-19 13:33
22.79,Paris,1017,2023-07-19 13:32
21.38,Brussels,1015,2023-07-19 13:32
20.57,Amsterdam,1013,2023-07-19 13:32
22.79,Paris,1017,2023-07-19 13:31
21.38,Brussels,1015,2023-07-19 13:31
20.66,Amsterdam,1013,2023-07-19 13:31
22.79,Paris,1017,2023-07-19 13:30
21.38,Brussels,1015,2023-07-19 13:30
20.57,Amsterdam,1013,2023-07-19 13:30
22.83,Paris,1017,2023-07-19 13:29
21.42,Brussels,1015,2023-07-19 13:29
20.57,Amsterdam,1013,2023-07-19 13:29
22.76,Paris,1017,2023-07-19 13:28
21.38,Brussels,1015,2023-07-19 13:28
20.57,Amsterdam,1013,2023-07-19 13:28
22.79,Paris,1017,2023-07-19 13:27
21.42,Brussels,1015,2023-07-19 13:27
20.66,Amsterdam,1013,2023-07-19 13:27
22.77,Paris,1017,2023-07-19 13:26
21.38,Brussels,1015,2023-07-19 13:26
20.57,Amsterdam,1013,2023-07-19 13:26
22.76,Paris,1017,2023-07-19 13:25
21.14,Brussels,1015,2023-07-19 13:25
20.54,Amsterdam,1013,2023-07-19 13:25
22.76,Paris,1017,2023-07-19 13:24
20.85,Brussels,1015,2023-07-19 13:24
20.54,Amsterdam,1013,2023-07-19 13:24
22.76,Paris,1017,2023-07-19 13:23
20.85,Brussels,1015,2023-07-19 13:23
20.54,Amsterdam,1013,2023-07-19 13:23
22.77,Paris,1017,2023-07-19 13:22
21.14,Brussels,1015,2023-07-19 13:22
20.54,Amsterdam,1013,2023-07-19 13:22
22.77,Paris,1017,2023-07-19 13:21
21.14,Brussels,1015,2023-07-19 13:21
20.54,Amsterdam,1013,2023-07-19 13:21
22.77,Paris,1017,2023-07-19 13:20
20.85,Brussels,1015,2023-07-19 13:20
20.54,Amsterdam,1013,2023-07-19 13:20
22.77,Paris,1017,2023-07-19 13:19
20.85,Brussels,1015,2023-07-19 13:19
20.54,Amsterdam,1013,2023-07-19 13:19
22.8,Paris,1017,2023-07-19 13:18
21.14,Brussels,1015,2023-07-19 13:18
20.54,Amsterdam,1013,2023-07-19 13:18
22.8,Paris,1017,2023-07-19 13:17
20.79,Brussels,1015,2023-07-19 13:17
20.54,Amsterdam,1013,2023-07-19 13:17
22.8,Paris,1017,2023-07-19 13:16
20.85,Brussels,1015,2023-07-19 13:16
20.21,Amsterdam,1013,2023-07-19 13:16
22.8,Paris,1017,2023-07-19 13:15
20.79,Brussels,1015,2023-07-19 13:15
20.16,Amsterdam,1013,2023-07-19 13:15
22.8,Paris,1017,2023-07-19 13:14
20.77,Brussels,1015,2023-07-19 13:14
20.21,Amsterdam,1013,2023-07-19 13:14
22.8,Paris,1017,2023-07-19 13:13
20.79,Brussels,1015,2023-07-19 13:13
20.13,Amsterdam,1013,2023-07-19 13:13
22.8,Paris,1017,2023-07-19 13:12
20.79,Brussels,1015,2023-07-19 13:12
20.16,Amsterdam,1013,2023-07-19 13:12
22.8,Paris,1017,2023-07-19 13:11
20.77,Brussels,1015,2023-07-19 13:11
20.13,Amsterdam,1013,2023-07-19 13:11
22.8,Paris,1017,2023-07-19 13:10
20.77,Brussels,1015,2023-07-19 13:10
20.16,Amsterdam,1013,2023-07-19 13:10
22.8,Paris,1017,2023-07-19 13:09
20.79,Brussels,1015,2023-07-19 13:09
20.13,Amsterdam,1013,2023-07-19 13:09
22.8,Paris,1017,2023-07-19 13:08
20.79,Brussels,1015,2023-07-19 13:08
20.13,Amsterdam,1013,2023-07-19 13:08
22.82,Paris,1017,2023-07-19 13:07
20.84,Brussels,1015,2023-07-19 13:07
20.21,Amsterdam,1013,2023-07-19 13:07
22.8,Paris,1017,2023-07-19 13:06
20.79,Brussels,1015,2023-07-19 13:06
20.13,Amsterdam,1013,2023-07-19 13:06
22.82,Paris,1017,2023-07-19 13:05
20.82,Brussels,1015,2023-07-19 13:05
20.13,Amsterdam,1013,2023-07-19 13:05
22.82,Paris,1017,2023-07-19 13:04
20.67,Brussels,1015,2023-07-19 13:04
20.12,Amsterdam,1013,2023-07-19 13:04
22.82,Paris,1017,2023-07-19 13:03
20.67,Brussels,1015,2023-07-19 13:03
20.12,Amsterdam,1013,2023-07-19 13:03
22.82,Paris,1017,2023-07-19 13:02
20.86,Brussels,1015,2023-07-19 13:02
20.12,Amsterdam,1013,2023-07-19 13:02
22.8,Paris,1017,2023-07-19 13:01
20.67,Brussels,1015,2023-07-19 13:01
20.12,Amsterdam,1013,2023-07-19 13:01
22.82,Paris,1017,2023-07-19 13:00
20.84,Brussels,1015,2023-07-19 13:00
20.12,Amsterdam,1013,2023-07-19 13:00
22.8,Paris,1017,2023-07-19 12:59
20.84,Brussels,1015,2023-07-19 12:59
20.12,Amsterdam,1013,2023-07-19 12:59
22.68,Paris,1017,2023-07-19 12:58
20.84,Brussels,1015,2023-07-19 12:58
20.12,Amsterdam,1013,2023-07-19 12:58
22.68,Paris,1017,2023-07-19 12:57
20.82,Brussels,1015,2023-07-19 12:57
20.12,Amsterdam,1013,2023-07-19 12:57
22.68,Paris,1017,2023-07-19 12:56
20.82,Brussels,1015,2023-07-19 12:56
19.93,Amsterdam,1013,2023-07-19 12:56
22.68,Paris,1017,2023-07-19 12:55
20.82,Brussels,1015,2023-07-19 12:55
19.93,Amsterdam,1013,2023-07-19 12:55
22.68,Paris,1017,2023-07-19 12:54
20.78,Brussels,1015,2023-07-19 12:54
19.93,Amsterdam,1013,2023-07-19 12:54
22.68,Paris,1017,2023-07-19 12:53
20.78,Brussels,1015,2023-07-19 12:53
19.93,Amsterdam,1013,2023-07-19 12:53
22.68,Paris,1017,2023-07-19 12:52
20.78,Brussels,1015,2023-07-19 12:52
19.93,Amsterdam,1013,2023-07-19 12:52
22.68,Paris,1017,2023-07-19 12:51
20.82,Brussels,1015,2023-07-19 12:51
19.93,Amsterdam,1013,2023-07-19 12:51
22.68,Paris,1017,2023-07-19 12:50
20.89,Brussels,1015,2023-07-19 12:50
19.92,Amsterdam,1013,2023-07-19 12:50
22.68,Paris,1017,2023-07-19 12:49
20.78,Brussels,1015,2023-07-19 12:49
19.93,Amsterdam,1013,2023-07-19 12:49
22.43,Paris,1018,2023-07-19 12:37
20.98,Brussels,1015,2023-07-19 12:37
19.95,Amsterdam,1012,2023-07-19 12:37
22.02,Paris,1017,2023-07-19 12:36
20.98,Brussels,1015,2023-07-19 12:36
19.95,Amsterdam,1012,2023-07-19 12:36
22.02,Paris,1017,2023-07-19 12:35
20.87,Brussels,1015,2023-07-19 12:35
19.63,Amsterdam,1013,2023-07-19 12:35
22.02,Paris,1017,2023-07-19 12:34
20.98,Brussels,1015,2023-07-19 12:34
19.59,Amsterdam,1013,2023-07-19 12:34
22.02,Paris,1017,2023-07-19 12:33
21.02,Brussels,1015,2023-07-19 12:33
19.95,Amsterdam,1012,2023-07-19 12:33
22.02,Paris,1017,2023-07-19 12:32
20.98,Brussels,1015,2023-07-19 12:32
19.52,Amsterdam,1013,2023-07-19 12:32
22.02,Paris,1017,2023-07-19 12:31
20.98,Brussels,1015,2023-07-19 12:31
19.63,Amsterdam,1013,2023-07-19 12:31
22.02,Paris,1017,2023-07-19 12:30
20.98,Brussels,1015,2023-07-19 12:30
19.59,Amsterdam,1013,2023-07-19 12:30
22.02,Paris,1017,2023-07-19 12:29
21.02,Brussels,1015,2023-07-19 12:29
19.63,Amsterdam,1013,2023-07-19 12:29
22.02,Paris,1017,2023-07-19 12:28
21.02,Brussels,1015,2023-07-19 12:28
19.59,Amsterdam,1013,2023-07-19 12:28
22.07,Paris,1017,2023-07-19 12:27
21.02,Brussels,1015,2023-07-19 12:27
19.63,Amsterdam,1013,2023-07-19 12:27
22.07,Paris,1017,2023-07-19 12:26
21.02,Brussels,1015,2023-07-19 12:26
19.63,Amsterdam,1013,2023-07-19 12:26
22.03,Paris,1017,2023-07-19 12:25
21.05,Brussels,1015,2023-07-19 12:25
19.59,Amsterdam,1013,2023-07-19 12:25
22.07,Paris,1017,2023-07-19 12:24
21.02,Brussels,1015,2023-07-19 12:24
19.63,Amsterdam,1012,2023-07-19 12:24
22.07,Paris,1017,2023-07-19 12:23
21.02,Brussels,1015,2023-07-19 12:23
19.58,Amsterdam,1012,2023-07-19 12:23
22.03,Paris,1017,2023-07-19 12:22
21.08,Brussels,1015,2023-07-19 12:22
19.58,Amsterdam,1012,2023-07-19 12:22
22.07,Paris,1017,2023-07-19 12:21
21.02,Brussels,1015,2023-07-19 12:21
19.58,Amsterdam,1012,2023-07-19 12:21
22.07,Paris,1017,2023-07-19 12:20
21.02,Brussels,1015,2023-07-19 12:20
19.58,Amsterdam,1012,2023-07-19 12:20
22.07,Paris,1017,2023-07-19 12:19
21.11,Brussels,1015,2023-07-19 12:19
19.63,Amsterdam,1012,2023-07-19 12:19
21.59,Paris,1017,2023-07-19 12:18
21.11,Brussels,1015,2023-07-19 12:18
19.62,Amsterdam,1012,2023-07-19 12:18
21.59,Paris,1017,2023-07-19 12:17
21.11,Brussels,1015,2023-07-19 12:17
19.58,Amsterdam,1012,2023-07-19 12:17
21.59,Paris,1017,2023-07-19 12:16
21.11,Brussels,1015,2023-07-19 12:16
19.58,Amsterdam,1012,2023-07-19 12:16
21.59,Paris,1017,2023-07-19 12:15
21.08,Brussels,1015,2023-07-19 12:15
19.48,Amsterdam,1012,2023-07-19 12:15
21.59,Paris,1017,2023-07-19 12:14
21.08,Brussels,1015,2023-07-19 12:14
19.43,Amsterdam,1012,2023-07-19 12:14
21.61,Paris,1017,2023-07-19 12:13
21.08,Brussels,1015,2023-07-19 12:13
19.43,Amsterdam,1012,2023-07-19 12:13
21.59,Paris,1017,2023-07-19 12:12
21.08,Brussels,1015,2023-07-19 12:12
19.48,Amsterdam,1012,2023-07-19 12:12
21.61,Paris,1017,2023-07-19 12:11
21.11,Brussels,1015,2023-07-19 12:11
19.43,Amsterdam,1012,2023-07-19 12:11
21.59,Paris,1017,2023-07-19 12:10
21.11,Brussels,1015,2023-07-19 12:10
19.42,Amsterdam,1012,2023-07-19 12:10
21.59,Paris,1017,2023-07-19 12:09
21.11,Brussels,1015,2023-07-19 12:09
19.43,Amsterdam,1012,2023-07-19 12:09
21.59,Paris,1017,2023-07-19 12:08
21.13,Brussels,1015,2023-07-19 12:08
19.42,Amsterdam,1012,2023-07-19 12:08
21.97,Paris,1017,2023-07-19 12:07
21.13,Brussels,1015,2023-07-19 12:07
19.43,Amsterdam,1012,2023-07-19 12:07
21.97,Paris,1017,2023-07-19 12:06
21.28,Brussels,1015,2023-07-19 12:06
19.43,Amsterdam,1012,2023-07-19 12:06
21.97,Paris,1017,2023-07-19 12:05
21.13,Brussels,1015,2023-07-19 12:05
19.28,Amsterdam,1012,2023-07-19 12:05
21.97,Paris,1017,2023-07-19 12:04
21.28,Brussels,1015,2023-07-19 12:04
19.21,Amsterdam,1012,2023-07-19 12:04
21.97,Paris,1017,2023-07-19 12:03
21.13,Brussels,1015,2023-07-19 12:03
19.21,Amsterdam,1012,2023-07-19 12:03
22.01,Paris,1017,2023-07-19 12:02
21.28,Brussels,1015,2023-07-19 12:02
19.28,Amsterdam,1012,2023-07-19 12:02
22.01,Paris,1017,2023-07-19 12:01
21.13,Brussels,1015,2023-07-19 12:01
19.21,Amsterdam,1012,2023-07-19 12:01
21.97,Paris,1017,2023-07-19 12:00
21.13,Brussels,1015,2023-07-19 12:00
19.21,Amsterdam,1012,2023-07-19 12:00
21.97,Paris,1017,2023-07-19 11:59
21.28,Brussels,1015,2023-07-19 11:59
19.21,Amsterdam,1012,2023-07-19 11:59
21.97,Paris,1017,2023-07-19 11:58
21.28,Brussels,1015,2023-07-19 11:58
19.28,Amsterdam,1012,2023-07-19 11:58
21.81,Paris,1017,2023-07-19 11:57
21.15,Brussels,1015,2023-07-19 11:57
19.28,Amsterdam,1012,2023-07-19 11:57
21.79,Paris,1017,2023-07-19 11:56
21.35,Brussels,1015,2023-07-19 11:56
19.21,Amsterdam,1012,2023-07-19 11:56
21.79,Paris,1017,2023-07-19 11:55
21.35,Brussels,1015,2023-07-19 11:55
19.21,Amsterdam,1012,2023-07-19 11:55
21.79,Paris,1017,2023-07-19 11:54
21.15,Brussels,1015,2023-07-19 11:54
19.21,Amsterdam,1012,2023-07-19 11:54
21.81,Paris,1017,2023-07-19 11:53
21.35,Brussels,1015,2023-07-19 11:53
19.26,Amsterdam,1012,2023-07-19 11:53
21.79,Paris,1017,2023-07-19 11:52
21.15,Brussels,1015,2023-07-19 11:52
19.17,Amsterdam,1012,2023-07-19 11:52
21.79,Paris,1017,2023-07-19 11:51
21.2,Brussels,1015,2023-07-19 11:51
19.17,Amsterdam,1012,2023-07-19 11:51
21.79,Paris,1017,2023-07-19 11:50
21.15,Brussels,1015,2023-07-19 11:50
19.4,Amsterdam,1012,2023-07-19 11:50
21.79,Paris,1017,2023-07-19 11:49
21.35,Brussels,1015,2023-07-19 11:49
19.4,Amsterdam,1012,2023-07-19 11:49
21.79,Paris,1017,2023-07-19 11:48
21.15,Brussels,1015,2023-07-19 11:48
19.4,Amsterdam,1012,2023-07-19 11:48
21.58,Paris,1017,2023-07-19 11:47
21.2,Brussels,1015,2023-07-19 11:47
19.17,Amsterdam,1012,2023-07-19 11:47
21.58,Paris,1017,2023-07-19 11:46
21.06,Brussels,1015,2023-07-19 11:46
19.17,Amsterdam,1012,2023-07-19 11:46
21.58,Paris,1017,2023-07-19 11:45
21.1,Brussels,1015,2023-07-19 11:45
19.4,Amsterdam,1012,2023-07-19 11:45
21.58,Paris,1017,2023-07-19 11:44
21.06,Brussels,1015,2023-07-19 11:44
19.34,Amsterdam,1012,2023-07-19 11:44
21.59,Paris,1017,2023-07-19 11:43
21.1,Brussels,1015,2023-07-19 11:43
19.38,Amsterdam,1012,2023-07-19 11:43
21.59,Paris,1017,2023-07-19 11:42
21.23,Brussels,1015,2023-07-19 11:42
19.4,Amsterdam,1012,2023-07-19 11:42
21.59,Paris,1017,2023-07-19 11:41
21.06,Brussels,1015,2023-07-19 11:41
19.38,Amsterdam,1012,2023-07-19 11:41
21.59,Paris,1017,2023-07-19 11:40
20.85,Brussels,1015,2023-07-19 11:40
19.38,Amsterdam,1012,2023-07-19 11:40
21.58,Paris,1017,2023-07-19 11:39
20.85,Brussels,1015,2023-07-19 11:39
19.38,Amsterdam,1012,2023-07-19 11:39
20.81,Paris,1017,2023-07-19 11:38
20.85,Brussels,1015,2023-07-19 11:38
19.38,Amsterdam,1012,2023-07-19 11:38
21.59,Paris,1017,2023-07-19 11:36
21.1,Brussels,1015,2023-07-19 11:36
19.38,Amsterdam,1012,2023-07-19 11:36
20.81,Paris,1017,2023-07-19 11:34
20.85,Brussels,1015,2023-07-19 11:34
19.13,Amsterdam,1012,2023-07-19 11:34
20.8,Paris,1017,2023-07-19 11:33
20.85,Brussels,1015,2023-07-19 11:33
19.13,Amsterdam,1012,2023-07-19 11:33
20.8,Paris,1017,2023-07-19 11:32
20.95,Brussels,1015,2023-07-19 11:32
19.38,Amsterdam,1012,2023-07-19 11:32
